image,score
sun_aiztxdurlviyfwxz.jpg,42.4
sun_bplgyeqclqlogugd.jpg,53.6
sun_acdlgczjpwkeuvgy.jpg,51.91
sun_bhicdswlyikaabeq.jpg,59.3
sun_bfqkksxqisfiefwe.jpg,45.0
sun_beprzjdksyhqbxhx.jpg,57.0
sun_bxcaalgmiqxdiuqf.jpg,57.0
sun_aqeikwpwbwvsnetj.jpg,48.8
sun_blojyrvlkifrickr.jpg,78.7
sun_ajrwezxmmjejxsbt.jpg,34.7
sun_agldadusrezhmyva.jpg,51.6
sun_bursogyeljvlegan.jpg,45.0
sun_bgpysxgkeqxnuemb.jpg,59.6
sun_bagmxxfdodupvbxd.jpg,66.1
sun_bpitlhevfvplujnj.jpg,55.3
sun_bukzvwbkvedjexbe.jpg,69.55
sun_bzybqfaecwsubwwo.jpg,45.55
sun_ahlifjixdpvtzxbh.jpg,43.7
sun_bioqyrrgfmkqqtds.jpg,55.7
sun_adspmthiralksljq.jpg,62.73
sun_agkrxexrskvqvcaa.jpg,55.6
sun_bvfurauxmvdtyvgf.jpg,72.82
sun_byapwpssjeemastl.jpg,46.27
sun_bnutyshnyfueffma.jpg,59.7
sun_bbhabvbnyjdrklgv.jpg,42.8
sun_aiwjjxhtgtrwjdsf.jpg,26.7
sun_afyrjzbnuspcoxgk.jpg,58.6
sun_bzblhlcujhvbmtsk.jpg,46.64
sun_byzjgmmogjopssok.jpg,69.82
sun_bwwsahpstphbexsu.jpg,59.45
sun_blfoisnvweqrqima.jpg,53.9
sun_bicunceqwddmddnv.jpg,55.8
sun_acpxjhfbxfstfrtj.jpg,68.27
sun_bhjlnvxiyljwqgtb.jpg,67.9
sun_bacxjdyothvyafjs.jpg,68.2
sun_akvgycniyttaeipg.jpg,40.0
sun_buyxiaambrtnnfmf.jpg,61.82
sun_bhpxikxxkuopazhu.jpg,68.6
sun_aojrnsqotnhfozgr.jpg,58.4
sun_bkqnsqatzzpnuqik.jpg,52.9
sun_bqhobttwnrvzcrce.jpg,28.2
sun_ageesrbsavpweokk.jpg,55.7
sun_admzmthmjgmaimfo.jpg,65.18
sun_adbdknfmtkvlxcxq.jpg,67.27
sun_bauwwrjuuziquijw.jpg,38.8
sun_bmicbywtgzbygxyr.jpg,60.6
sun_azdvpvrznvgpeaao.jpg,58.1
sun_brwkzzrexqoahgfg.jpg,67.0
